P: 4
       y (u)    z (F)
x (z)                
0.560  0.000 5313.262
0.570  0.000 5338.413
0.580  0.000 5358.668
0.590  0.000 5373.976
0.600  0.000 5384.308
0.610  0.000 5389.653
0.620  0.000 5390.023
0.630  0.000 5385.454
0.640  0.000 5376.008
0.650  0.000 5361.769
0.660  0.000 5342.849
0.670  0.000 5319.387
0.680  0.000 5291.548
0.690  0.000 5259.523
0.700  0.000 5223.528
0.710  0.000 5183.807
0.720  0.000 5140.624
0.730  0.000 5094.266
0.740  0.000 5045.040
0.750  0.000 4993.269
0.760  0.000 4939.287
0.770  0.000 4883.442
0.780  0.000 4826.083
0.790  0.000 4767.563
0.800  0.000 4708.228
0.810  0.000 4648.419
0.820  0.000 4588.460
0.830  0.000 4528.657
0.840  0.000 4469.292
0.850  0.000 4410.620
0.860  0.000 4352.863
0.870  0.000 4296.212
0.880  0.000 4240.820
0.890  0.000 4186.804
0.900  0.000 4134.248
0.910  0.000 4083.200
0.920  0.000 4033.684
0.930  0.000 3985.694
0.940  0.000 3939.207
0.950  0.000 3894.185
0.960  0.000 3850.579
0.970  0.000 3808.333
0.980  0.000 3767.386
0.990  0.000 3727.674
1.000  0.000 3689.130




P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  109.409
0.020  0.000  218.820
0.030  0.000  328.235
0.040  0.000  437.656
0.050  0.000  547.084
0.060  0.000  656.517
0.070  0.000  765.955
0.080  0.000  875.395
0.090  0.000  984.830
0.100  0.000 1094.254
0.110  0.000 1203.656
0.120  0.000 1313.025
0.130  0.000 1422.345
0.140  0.000 1531.597
0.150  0.000 1640.759
0.160  0.000 1749.805
0.170  0.000 1858.706
0.180  0.000 1967.427
0.190  0.000 2075.930
0.200  0.000 2184.171
0.210  0.000 2292.103
0.220  0.000 2399.672
0.230  0.000 2506.819
0.240  0.000 2613.481
0.250  0.000 2719.587
0.260  0.000 2825.061
0.270  0.000 2929.823
0.280  0.000 3033.784
0.290  0.000 3136.850
0.300  0.000 3238.922
0.310  0.000 3339.892
0.320  0.000 3439.650
0.330  0.000 3538.075
0.340  0.000 3635.045
0.350  0.000 3730.428
0.360  0.000 3824.088
0.370  0.000 3915.886
0.380  0.000 4005.674
0.390  0.000 4093.302
0.400  0.000 4178.615
0.410  0.000 4261.455
0.420  0.000 4341.661
0.430  0.000 4419.069
0.440  0.000 4493.514
0.450  0.000 4564.830
0.460  0.000 4632.851
0.470  0.000 4697.414
0.480  0.000 4758.357
0.490  0.000 4815.520
0.500  0.000 4868.750
0.510  0.000 4917.899
0.520  0.000 4962.827
0.530  0.000 5003.403
0.540  0.000 5039.504
0.550  0.000 5071.021
0.560  0.000 5097.859
0.570  0.000 5119.936
0.580  0.000 5137.188
0.590  0.000 5149.567
0.600  0.000 5157.047
0.610  0.000 5159.621
0.620  0.000 5157.305
0.630  0.000 5150.140
0.640  0.000 5138.189
0.650  0.000 5121.541
0.660  0.000 5100.313
0.670  0.000 5074.645
0.680  0.000 5044.708
0.690  0.000 5010.696
0.700  0.000 4972.830
0.710  0.000 4931.354
0.720  0.000 4886.539
0.730  0.000 4838.674
0.740  0.000 4788.070
0.750  0.000 4735.051
0.760  0.000 4679.957
0.770  0.000 4623.137
0.780  0.000 4564.943
0.790  0.000 4505.730
0.800  0.000 4445.847
0.810  0.000 4385.637
0.820  0.000 4325.424
0.830  0.000 4265.516
0.840  0.000 4206.196
0.850  0.000 4147.719
0.860  0.000 4090.308
0.870  0.000 4034.151
0.880  0.000 3979.402
0.890  0.000 3926.175
0.900  0.000 3874.552
0.910  0.000 3824.579
0.920  0.000 3776.274
0.930  0.000 3729.628
0.940  0.000 3684.614
0.950  0.000 3641.185
0.960  0.000 3599.285
0.970  0.000 3558.851
0.980  0.000 3519.813
0.990  0.000 3482.095
1.000  0.000 3445.619




P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  113.420
0.020  0.000  226.842
0.030  0.000  340.269
0.040  0.000  453.701
0.050  0.000  567.140
0.060  0.000  680.586
0.070  0.000  794.037
0.080  0.000  907.489
0.090  0.000 1020.938
0.100  0.000 1134.376
0.110  0.000 1247.793
0.120  0.000 1361.177
0.130  0.000 1474.511
0.140  0.000 1587.779
0.150  0.000 1700.956
0.160  0.000 1814.018
0.170  0.000 1926.933
0.180  0.000 2039.669
0.190  0.000 2152.185
0.200  0.000 2264.438
0.210  0.000 2376.381
0.220  0.000 2487.958
0.230  0.000 2599.111
0.240  0.000 2709.775
0.250  0.000 2819.879
0.260  0.000 2929.347
0.270  0.000 3038.098
0.280  0.000 3146.041
0.290  0.000 3253.083
0.300  0.000 3359.122
0.310  0.000 3464.051
0.320  0.000 3567.757
0.330  0.000 3670.119
0.340  0.000 3771.013
0.350  0.000 3870.306
0.360  0.000 3967.862
0.370  0.000 4063.538
0.380  0.000 4157.185
0.390  0.000 4248.653
0.400  0.000 4337.783
0.410  0.000 4424.417
0.420  0.000 4508.390
0.430  0.000 4589.537
0.440  0.000 4667.691
0.450  0.000 4742.683
0.460  0.000 4814.347
0.470  0.000 4882.514
0.480  0.000 4947.021
0.490  0.000 5007.705
0.500  0.000 5064.412
0.510  0.000 5116.990
0.520  0.000 5165.295
0.530  0.000 5209.193
0.540  0.000 5248.560
0.550  0.000 5283.283
0.560  0.000 5313.262
0.570  0.000 5338.413
0.580  0.000 5358.668
0.590  0.000 5373.976
0.600  0.000 5384.308
0.610  0.000 5389.653
0.620  0.000 5390.023
0.630  0.000 5385.454
0.640  0.000 5376.008
0.650  0.000 5361.769
0.660  0.000 5342.849
0.670  0.000 5319.387
0.680  0.000 5291.548
0.690  0.000 5259.523
0.700  0.000 5223.528
0.710  0.000 5183.807
0.720  0.000 5140.624
0.730  0.000 5094.266
0.740  0.000 5045.040
0.750  0.000 4993.269
0.760  0.000 4939.287
0.770  0.000 4883.442
0.780  0.000 4826.083
0.790  0.000 4767.563
0.800  0.000 4708.228
0.810  0.000 4648.419
0.820  0.000 4588.460
0.830  0.000 4528.657
0.840  0.000 4469.292
0.850  0.000 4410.620
0.860  0.000 4352.863
0.870  0.000 4296.212
0.880  0.000 4240.820
0.890  0.000 4186.804
0.900  0.000 4134.248
0.910  0.000 4083.200
0.920  0.000 4033.684
0.930  0.000 3985.694
0.940  0.000 3939.207
0.950  0.000 3894.185
0.960  0.000 3850.579
0.970  0.000 3808.333
0.980  0.000 3767.386
0.990  0.000 3727.674
1.000  0.000 3689.130




P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  111.411
0.020  0.000  222.823
0.030  0.000  334.240
0.040  0.000  445.663
0.050  0.000  557.092
0.060  0.000  668.528
0.070  0.000  779.968
0.080  0.000  891.410
0.090  0.000 1002.848
0.100  0.000 1114.275
0.110  0.000 1225.681
0.120  0.000 1337.053
0.130  0.000 1448.376
0.140  0.000 1559.632
0.150  0.000 1670.798
0.160  0.000 1781.848
0.170  0.000 1892.752
0.180  0.000 2003.476
0.190  0.000 2113.982
0.200  0.000 2224.225
0.210  0.000 2334.158
0.220  0.000 2443.727
0.230  0.000 2552.874
0.240  0.000 2661.532
0.250  0.000 2769.634
0.260  0.000 2877.101
0.270  0.000 2983.853
0.280  0.000 3089.801
0.290  0.000 3194.851
0.300  0.000 3298.903
